cycle,soh_pct,throughput_kwh,efc,energy_in_kwh,energy_out_kwh,peak_temp_c,end_temp_c
124,96.2752,6145.841,37.2475,48.636,0.0,27.5,27.44
125,96.2458,6194.463,37.5422,48.621,0.0,27.5,27.43
126,96.2163,6243.069,37.8368,48.607,0.0,27.5,27.42
127,96.1869,6291.661,38.1313,48.592,0.0,27.5,27.41
128,96.1574,6340.238,38.4257,48.577,0.0,27.5,27.4
129,96.128,6388.8,38.72,48.562,0.0,27.5,27.39
130,96.0986,6437.347,39.0142,48.547,0.0,27.5,27.38
131,96.0692,6485.879,39.3084,48.532,0.0,27.5,27.38
132,96.0398,6534.396,39.6024,48.517,0.0,27.5,27.37
133,96.0104,6582.899,39.8964,48.503,0.0,27.5,27.36
134,95.981,6631.387,40.1902,48.488,0.0,27.5,27.35
135,95.9516,6679.86,40.484,48.473,0.0,27.5,27.34
136,95.9222,6728.318,40.7777,48.458,0.0,27.5,27.33
137,95.8929,6776.761,41.0713,48.443,0.0,27.5,27.32
138,95.8635,6825.189,41.3648,48.428,0.0,27.5,27.32
139,95.8342,6873.603,41.6582,48.414,0.0,27.5,27.31
140,95.8048,6922.001,41.9515,48.399,0.0,27.5,27.3
141,95.7755,6970.385,42.2448,48.384,0.0,27.5,27.29
